metric,mean,median,sample_stddev,minimum,maximum
requests_started,1109,1073,141.477913,989,1265
responses_2xx,715.666667,725,86.37901,625,797
responses_5xx,32.666667,22,21.126603,19,57
connection_errors,360.666667,342,80.637047,291,449
unexpected_failures,0,0,0,0,0
unexpected_failures_percent,0,0,0,0,0
dropped_iterations,500,536,141.477913,344,620
dropped_iterations_percent,31.075333,33.313,8.792708,21.38,38.533
throughput_rps,10.276896,9.802624,1.52317,9.047286,11.980779
latency_p95_ms,55485.846,54606.76,2675.266233,53360.734,58490.044
latency_p99_ms,57478.793333,56453.373,2192.995128,55986.357,59996.65
orders_created,731,741,86.434947,640,812
orders_completed,730.666667,740,86.37901,640,812
orders_pending,0.333333,0,0.57735,0,1
orders_failed,0,0,0,0,0
completion_rate_percent,99.955,100,0.077942,99.865,100
order_processing_p95_ms,606.003333,596.95,18.418135,593.864,627.196
order_processing_p99_ms,737.621,709.845,58.925452,697.717,805.301
drain_duration_seconds,205.666667,6,347.566301,4,607
restarts,1,1,0,1,1
api_peak_cpu_cores,0.444187,0.419931,0.047876,0.413293,0.499336
api_peak_memory_mib,99.925781,94.84375,9.0163,94.597656,110.335938
max_backlog,2.333333,1,2.309401,1,5
